price,postcode,lat,lon
310000,CO9 2EL,51.945799,0.645253
595995,CM0 8GJ,51.637865,0.801917
549995,CM8 1ZQ,51.791329,0.619303
383995,CM0 8GN,51.635702,0.799081
766995,RM14 3EB,51.547226,0.402916
310000,CO1 1FA,51.889920,0.902908
270000,SS15 6UH,51.571562,0.421316
699995,RM14 3EF,51.546897,0.403187
343995,CM1 1JF,51.737873,0.476588
205000,SS15 6UH,51.571562,0.421316
304995,CM0 8FY,51.637109,0.800035
590000,CO7 8GH,51.857842,1.067878
595000,CO7 8GG,51.858361,1.068335
240000,SS15 6UH,51.571562,0.421316
350000,CO6 1BU,51.877358,0.796968
575000,CM15 9QA,51.638493,0.287951
360000,CO9 1PH,51.941503,0.592210
325000,SS6 8SN,51.579216,0.623787
450000,CO9 1QP,51.923011,0.649236
400000,CM13 1ES,51.638161,0.343967
549995,CM0 8GP,51.635178,0.799164
599995,CM0 8GP,51.635178,0.799164
582500,CM3 8BL,51.678901,0.552892
295000,SS2 4ET,51.546287,0.728157
310000,SS7 4HD,51.572146,0.555159
270000,CO3 4JX,51.879780,0.856334
370000,RM15 4EB,51.499912,0.245401
300000,CB11 3LH,51.977633,0.266403
365000,SS3 0BE,51.548087,0.814207
519995,CM8 1ZQ,51.791329,0.619303
290000,SS6 7TB,51.581748,0.603206
559995,SS16 5NS,51.557649,0.443862
200000,CM6 3YD,51.874909,0.372753
400000,SS6 8PG,51.582514,0.618420
335000,SS9 4JU,51.561138,0.656338
355000,RM17 5YG,51.478588,0.316637
412500,CO6 1PU,51.878393,0.687805
689995,RM14 3EB,51.547226,0.402916
378000,CO1 1GY,51.898853,0.904284
377995,CM8 3GW,51.819115,0.642363
310000,SS7 5EE,51.552300,0.552575
242000,EX10 9FE,50.699001,-3.242323
478000,UB7 7PB,51.504773,-0.476855
635000,IG9 5RS,51.627934,0.031241
314995,CM8 3TX,51.818600,0.641259
374995,CM8 3TX,51.818600,0.641259
290000,CO4 5BX,51.902848,0.894989
755000,CM3 4HD,51.689381,0.585920
406995,CM8 1YU,51.788314,0.620608
240000,SS15 6UH,51.571562,0.421316
549995,CM8 1ZQ,51.791329,0.619303
245000,TA21 8FB,50.985308,-3.230360
163000,TA1 1PS,51.022526,-3.096592
131000,BS23 4AL,51.338132,-2.981308
227000,BS23 2LU,51.356198,-2.982268
205000,NG9 5AB,52.918554,-1.224475
360000,OX44 7RH,51.665374,-1.073549
565000,OX29 8GD,51.820869,-1.410927
438000,OX28 6ED,51.789993,-1.503644
257995,OX12 0GS,51.606894,-1.435374
285000,OX29 8PU,51.851704,-1.431259
365000,OX25 2PN,51.873014,-1.187838
254995,OX12 0GS,51.606894,-1.435374
500000,OX29 8PY,51.853114,-1.431111
385500,OX1 5LU,51.720554,-1.250808
378000,OX1 5QS,51.709593,-1.240843
377500,OX27 8BZ,51.924063,-1.163209
402950,OX16 9ZN,52.047740,-1.359045
257995,OX12 0GS,51.606894,-1.435374
350000,OX12 0GH,51.630171,-1.400396
689995,OX12 0GH,51.630171,-1.400396
279995,OX17 3FX,52.019827,-1.311833
649000,OX29 4PW,51.781892,-1.384661
670000,OX29 8GD,51.820869,-1.410927
425950,OX16 9ZN,52.047740,-1.359045
386950,OX27 8BZ,51.924063,-1.163209
354950,OX12 7FW,51.595835,-1.404602
385000,OX12 0GL,51.604596,-1.437915
354950,OX12 7FW,51.595835,-1.404602
318950,OX16 9ZN,52.047740,-1.359045
351289,OX12 8GE,51.587586,-1.427357
399000,OX11 6HZ,51.597570,-1.266125
352800,OX11 6HZ,51.597570,-1.266125
295000,OX11 6HZ,51.597570,-1.266125
299000,SN7 8FW,51.636521,-1.513685
350000,OX27 8BZ,51.924063,-1.163209
390000,OX27 8FS,51.924381,-1.163596
1220000,OX10 7BS,51.635947,-1.136572
318950,OX16 9ZN,52.047740,-1.359045
305000,SM6 9JP,51.355700,-0.130440
368000,KT2 5FE,51.414392,-0.306533
374000,DA1 4FS,51.451451,0.190587
315000,BR2 9TU,51.385647,0.039810
242500,DA1 4FN,51.450118,0.180453
325000,BR7 5FL,51.420416,0.054072
220000,DA1 4FH,51.449601,0.180841
385000,SE25 4NP,51.398068,-0.065301
950000,KT2 6HP,51.414996,-0.296078
499950,SM5 4QJ,51.353368,-0.160407
300000,DA7 6EU,51.456187,0.154252
325000,DA17 6HX,51.486241,0.163258
374000,DA8 2HA,51.469396,0.186551
437500,SW19 3ES,51.417809,-0.203862
468000,DA16 2JQ,51.457460,0.102130
385000,BR3 1AY,51.409598,-0.025472
357500,DA14 6FH,51.423678,0.108375
462000,SM4 5LT,51.397657,-0.195059
292000,SE25 6RP,51.399471,-0.084463
260000,SM1 1AJ,51.369337,-0.195602
330000,KT3 6HA,51.398253,-0.244373
268000,BR2 9HP,51.393194,0.031935
265000,CR0 6FQ,51.379889,-0.080844
400000,BR5 4FA,51.386746,0.112697
210000,CR0 1GU,51.367531,-0.099534
255000,SM6 8QP,51.361573,-0.142353
260000,KT2 6FE,51.414321,-0.298554
270000,KT2 6FE,51.414321,-0.298554
422500,SW20 8DH,51.409993,-0.217901
209000,CR8 2FQ,51.338747,-0.115785
585000,CR2 9DE,51.326765,-0.069770
495000,CR8 3NA,51.343070,-0.130799
295000,NG24 3WT,53.046480,-0.768911
195000,DN22 7ZS,53.328088,-0.944533
179995,NG18 6AF,53.120865,-1.179641
245000,NG12 4JS,52.912484,-1.124247
442500,NG12 4HP,52.911603,-1.121781
280000,NG12 4JU,52.911758,-1.124440
615000,NG12 4JS,52.912484,-1.124247
307000,NG12 4JS,52.912484,-1.124247
334995,NG18 6AF,53.120865,-1.179641
179995,NG18 6AF,53.120865,-1.179641
487500,NG15 8JT,53.048727,-1.190184
209995,DN11 8FQ,53.415127,-1.058458
238000,NG5 8EL,53.010065,-1.117254
265000,NG15 8JT,53.048727,-1.190184
477000,OX27 8EP,51.923197,-1.160258
708000,SN7 7LS,51.647486,-1.597816
404995,OX12 0GL,51.604596,-1.437915
369950,OX12 7FW,51.595835,-1.404602
424950,OX16 9ZL,52.047273,-1.359051
535000,OX29 4PW,51.781892,-1.384661
